"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/21/2019 22:22:01.508","42.129895452604635864","84","132","92","6976","7338","6264","4997951488","321557.75852614321047","24549.706366355156206","824771.40245384641457","3750356.3151282221079"
"10/21/2019 22:22:05.513","73.224316214984327189","83","135","91","6976","10000","6264","3695845376","454489.89557035162579","31561.49311062466586","5616109.9553318331018","8762706.6185222137719"
"10/21/2019 22:22:09.502","62.37975557035213825","83","132","87","6976","10000","6264","3697467392","251698.59361291304231","18369.494502912039025","351111.02243860985618","5246389.188353526406"
"10/21/2019 22:22:13.506","42.015305453354613974","82","115","87","6976","10000","6264","4229419008","370355.82650444703177","24878.753701712248585","95155.51875180323259","21900221.696811188012"
"10/21/2019 22:22:17.509","41.575591189168846995","82","105","87","6976","10000","6264","4227690496","375817.56530436861794","21890.25302461661704","249014.11802916080342","3406901.9394251597114"
"10/21/2019 22:22:21.512","44.837740086142765961","78","97","84","6976","10000","6264","4225540096","373407.44858254585415","21531.062825165041431","70607.016382384725148","4221583.2766018575057"
"10/21/2019 22:22:25.514","21.452405333617452499","71","84","85","6976","10000","6264","4226277376","315182.4296070226701","7543.8828170708984544","71643.273866734059993","895029.18566369905602"
"10/21/2019 22:22:29.516","34.091084399618985401","66","75","85","6976","10000","6264","3731677184","453597.36333807860501","16421.791545719588612","203671.09411120065488","1840204.1568439134862"
"10/21/2019 22:22:33.504","22.248326523406603883","63","63","85","6976","10000","6264","3732463616","407006.61011410626816","15591.370332622671413","578791.78929224051535","1364423.3240480569657"
"10/21/2019 22:22:37.506","20.509632287787837868","61","55","85","6976","10000","6264","4202627072","352859.22584873752203","12895.517179444712383","47073.946815504314145","2364570.3991429270245"
"10/21/2019 22:22:41.509","17.829264297836044051","60","50","84","6976","10000","6264","4206530560","158936.52250002653454","7878.6474438928053132","50141.93482302960183","2121950.3999470360577"
"10/21/2019 22:22:45.511","10.254664041750327641","59","46","84","6976","10000","6264","4037832704","264971.44456121645635","10591.431861692575694","51171.890001524916443","437391.72978803422302"
"10/21/2019 22:22:49.514","15.589192408992126104","58","44","85","6976","10000","6264","4037296128","243164.58403687382815","13510.226087754190303","0","1129785.7554587372579"
"10/21/2019 22:22:53.517","19.319838741215566102","58","43","84","6976","10000","6264","3697676288","227708.16073554847389","8949.7275834231568297","136352.43739425222157","9253546.6518290638924"
"10/21/2019 22:22:57.504","16.844728819522714502","58","42","84","6976","10000","6264","3696848896","268391.47232430131407","11866.999215530002402","143826.60587043000851","242322.1475691976666"
"10/21/2019 22:23:01.507","27.519129680120268944","57","41","83","6976","10000","6264","4166860800","221734.52676879707724","9488.244117749556608","158602.89158992227749","2401171.0353367831558"
"10/21/2019 22:23:05.510","9.1175953429534217776","57","40","84","6976","10000","6264","4169035776","406420.12448337522801","14613.609036778210793","2303504.3206120841205","1081398.5743255531415"
"10/21/2019 22:23:09.512","12.902741306770582952","57","40","85","6976","10000","6264","4169850880","373983.50991808722029","8717.1083613040427736","1023.2790487462058309","1336658.2574247312732"
"10/21/2019 22:23:13.514","3.6628383359599836488","57","40","79","6976","10000","6264","4180029440","372586.54225668072468","10258.166779091550779","0","588238.17497283162083"
"10/21/2019 22:23:17.517","6.9789597333560271508","57","40","73","6976","10000","6264","3715874816","140725.73693695419934","4047.7294830664982328","37859.748109467007453","262076.43201451993082"
