"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/21/2019 21:16:54.595","19.775301010253741651","95","89","91","3926","4442","4626","13265498112","335653.51670669694431","11069.281223029651301","494291.97712718322873","4647291.2104175565764"
"10/21/2019 21:16:58.581","31.281329559806646756","92","91","88","5000","4442","4626","12224659456","558229.44740660116076","17194.124832692745258","915518.85098563123029","1751405.029747484019"
"10/21/2019 21:17:02.585","30.730531749995993351","90","91","88","5000","4442","4626","12089339904","465555.92667465744307","14583.53219173501202","744707.66928363067564","1292497.445247070631"
"10/21/2019 21:17:06.588","25.209621168050453832","88","85","88","5000","5000","4626","12499480576","461623.39689204056049","13711.813595876839827","144274.18930766321137","18173943.357362128794"
"10/21/2019 21:17:10.590","13.398838789626799084","87","84","88","5000","5000","4626","12498366464","443016.15661828854354","13691.06684375032637","184226.70759527376504","2415033.027274988126"
"10/21/2019 21:17:14.594","14.630137689757038544","87","84","87","5000","5000","4938","12179152896","567338.83100466441829","14701.401647183394743","112533.99578931636643","1729315.0284760512877"
"10/21/2019 21:17:18.580","16.730563659225804685","86","83","84","5000","5000","4938","11283267584","590347.76060445792973","16417.405646014110971","5137.7300495143717853","5151216.5908943470567"
"10/21/2019 21:17:22.583","22.075054503781377235","86","81","83","5000","5000","4938","11348652032","387219.7694799809251","16825.323225681378972","54234.361353220869205","1584564.3123672171496"
"10/21/2019 21:17:26.586","20.481652813369201738","85","80","83","5000","5000","4938","11328659456","393268.37059840757865","13683.510198395155385","90059.414307985556661","5035651.6829823059961"
"10/21/2019 21:17:30.588","23.492415231657094665","85","81","83","5000","5000","4938","12043390976","529149.50339826161508","12621.989477261919092","3069.8085404282019226","954966.27345153980423"
"10/21/2019 21:17:34.591","18.430924229660782032","85","81","80","5000","5000","4938","12152758272","589080.09468168450985","15695.330395599628901","30702.06308719288063","1903783.7619316852652"
"10/21/2019 21:17:38.593","16.55678546505079396","82","82","80","5000","5000","4938","12154826752","498063.82644577673636","19034.197246609652211","145314.07624681785819","1488318.0256441249512"
"10/21/2019 21:17:42.579","13.250040514999582797","74","80","81","5000","5000","4938","12156055552","492316.91046860633651","13714.619559167853367","0","1459917.0876136850566"
"10/21/2019 21:17:46.582","23.273458705508009103","69","80","81","5000","5000","4938","11452776448","524441.62693911709357","16220.946422811779485","13302.320234123633782","1041673.9998721430311"
"10/21/2019 21:17:50.585","19.338821881291899274","65","81","80","5000","5000","4938","11454959616","552742.56005683972035","15975.799052909740567","1023.346567632902179","2422389.2439080337062"
"10/21/2019 21:17:54.588","25.468968790907119626","63","81","80","5000","5000","4938","12161785856","554731.67899608577136","18550.088286169098865","0","1351470.8865490250755"
"10/21/2019 21:17:58.591","13.147253367803667601","61","82","81","5000","5000","4938","12156596224","500500.46624077524757","12236.478280544590234","37860.859442908345954","949847.10210485605057"
"10/21/2019 21:18:02.593","15.402850766212194955","60","82","82","5000","5000","4938","12244070400","520301.2657382733305","13799.067822071032424","0","1410184.4746419577859"
"10/21/2019 21:18:06.595","15.087918788726939923","59","80","81","5000","5000","4938","12245827584","584789.62168755149469","21848.229325979016721","0","2717802.4953349861316"
"10/21/2019 21:18:10.581","20.380962845448426179","59","80","81","5000","5000","4938","11538743296","410716.69935722340597","13564.31493674635567","13357.85618449575486","2044394.2008521051612"
"10/21/2019 21:18:14.584","19.295538280366997697","58","80","81","5000","5000","4938","11540127744","444876.01134387450293","11672.741826975960066","1023.2760577710283769","1549623.6799870012328"
"10/21/2019 21:18:18.587","27.703362773220096216","58","80","82","5000","5000","4938","12244480000","548884.79219196131453","13762.139970915141021","22514.732068392098881","9017917.7410751860589"
"10/21/2019 21:18:22.589","15.427913794462611463","58","79","81","5000","5000","4938","12242214912","594639.89633985015098","18924.188883288956276","118717.74659356978373","2512261.9694014261477"
"10/21/2019 21:18:26.591","14.400236176479698003","58","79","80","5000","5000","4938","12243820544","515017.30153952905675","20581.442170180383982","13305.013204940754804","1361205.1971208618488"
"10/21/2019 21:18:30.593","10.604789687001280996","57","80","81","5000","5000","4938","12244377600","536607.44674613070674","13407.110123058948375","0","1123116.235819731839"
"10/21/2019 21:18:34.579","13.956777379177665921","57","80","82","5000","5000","4938","11538804736","587193.52655981678981","13311.387444265041267","27745.207415069249691","690290.48448417661712"
"10/21/2019 21:18:38.581","15.496309980572453568","57","79","82","5000","5000","4938","11541078016","589571.65124155173544","17104.894954970528488","24563.642645476127655","1218586.9593654172495"
"10/21/2019 21:18:42.584","19.928845084303002722","57","78","81","5000","5000","4938","11543638016","584456.71491462702397","21528.284612951305462","3069.8659826621519642","1897432.9994504319038"
"10/21/2019 21:18:46.586","20.990568094391669263","57","79","80","5000","5000","4938","11756662784","438102.34937839320628","18125.41954791842727","61405.8491370024567","1268286.6423838383052"
"10/21/2019 21:18:50.589","20.184483386300712482","57","80","81","5000","5000","4938","11841556480","370473.61200796265621","11182.829530475826687","0","1176976.879015826853"
"10/21/2019 21:18:54.591","21.307857355526081733","57","79","82","5000","5000","4938","12552097792","573920.94735899730586","14442.996052662516377","0","17812208.919122245163"
"10/21/2019 21:18:58.594","3.5879051475109058345","57","71","75","5000","5000","4938","12554129408","554826.34224094962701","14552.012866485483755","1023.2274377038477269","899161.11088225618005"
"10/21/2019 21:19:02.580","3.1032535771948199788","57","66","69","5000","5000","4938","12509728768","524331.41921746637672","12652.893943690833112","0","619389.18890820327215"
"10/21/2019 21:19:06.584","4.1729649523441487702","57","62","65","5000","5000","4938","12425932800","587172.92057346971706","13014.92065548726714","1022.9719643244521876","445887.90494992060121"
"10/21/2019 21:19:10.586","9.9815837182698157193","57","60","62","5000","5000","4938","11740549120","589586.67890422954224","15045.99543362759141","0","701729.99462193239015"
"10/21/2019 21:19:14.589","11.077378889194910982","57","58","60","5000","5000","4938","11858472960","588723.79857385531068","13050.297430118143893","0","749522.74857450358104"
